[00:00:00.000 --> 00:00:00.360]   Música
[00:10:45.200 --> 00:10:46.140]   Essa distinção lá
[00:10:46.140 --> 00:10:47.000]   Vai ter a bíblia
[00:10:47.000 --> 00:10:49.260]   Agora tem as leis morais
[00:10:49.260 --> 00:10:50.780]   Agora não são leis morais
[00:10:50.780 --> 00:10:52.340]   Mas você não vai encontrar
[00:10:52.340 --> 00:10:52.980]   Essa divisão lá
[00:10:52.980 --> 00:10:53.920]   Essa é uma divisão
[00:10:53.920 --> 00:10:55.280]   Da teologia sistemática
[00:10:55.280 --> 00:10:57.420]   Uma forma de nós entendermos
[00:10:57.420 --> 00:10:58.200]   E também
[00:10:58.200 --> 00:10:58.760]   Não é uma divisão
[00:10:58.760 --> 00:10:59.880]   Tão absoluta
[00:10:59.880 --> 00:11:01.060]   Porque
[00:11:01.060 --> 00:11:02.080]   Nós estudamos
[00:11:02.080 --> 00:11:02.420]   Por exemplo
[00:11:02.420 --> 00:11:03.400]   Algumas leis civis
[00:11:03.400 --> 00:11:04.280]   Existem
[00:11:04.280 --> 00:11:05.440]   Aspectos morais
[00:11:05.440 --> 00:11:06.340]   Nas leis civis
[00:11:06.340 --> 00:11:07.120]   Nas leis simulais
[00:11:07.120 --> 00:11:08.460]   Mas é uma divisão
[00:11:08.460 --> 00:11:09.260]   Que nos ajuda
[00:11:09.260 --> 00:11:10.600]   A compreender
[00:11:10.600 --> 00:11:11.880]   Este ponto
[00:11:11.880 --> 00:11:12.940]   Deslansável
[00:11:12.940 --> 00:11:14.220]   O que que permanece?
[00:11:14.220 --> 00:11:15.820]   Quais leis ainda valem?
[00:11:15.820 --> 00:11:17.400]   Como entenderam?
[00:11:17.400 --> 00:11:18.340]   Nós não vamos tratar
[00:11:18.340 --> 00:11:19.040]   Passar sobre essa assunto
[00:11:19.040 --> 00:11:19.560]   Por hoje, ok?
[00:11:19.560 --> 00:11:20.460]   Eu já falei sobre isso
[00:11:20.460 --> 00:11:21.220]   Resumindo
[00:11:21.220 --> 00:11:23.160]   O que que são as leis civis?
[00:11:23.160 --> 00:11:24.160]   São as leis
[00:11:24.160 --> 00:11:25.140]   Que diziam respeito
[00:11:25.140 --> 00:11:26.920]   Ao código de conduta
[00:11:26.920 --> 00:11:27.680]   Daquele povo
[00:11:27.680 --> 00:11:29.460]   Naquela nação específica
[00:11:29.460 --> 00:11:30.620]   De acordo com os costumes
[00:11:30.620 --> 00:11:31.580]   De acordo com o contexto
[00:11:31.580 --> 00:11:32.280]   Em que eles vivem
[00:11:32.280 --> 00:11:33.200]   Quando nós estudamos
[00:11:33.200 --> 00:11:33.700]   Aqui sobre nós
[00:11:33.700 --> 00:11:34.620]   E falamos sobre
[00:11:34.620 --> 00:11:35.480]   Muitas dessas leis
[00:11:35.480 --> 00:11:36.400]   E com sempre
[00:11:36.400 --> 00:11:36.800]   Os irmãos
[00:11:36.800 --> 00:11:38.180]   Acredito que elas não
[00:11:38.180 --> 00:11:40.000]   São regra para nós
[00:11:40.000 --> 00:11:40.640]   Apesar
[00:11:40.640 --> 00:11:41.840]   Existem alguns
[00:11:41.840 --> 00:11:42.580]   Que defendem isso
[00:11:42.580 --> 00:11:43.860]   Não se aplicam a nós
[00:11:43.860 --> 00:11:44.320]   Diretamente
[00:11:44.320 --> 00:11:45.060]   Então essas leis
[00:11:45.060 --> 00:11:45.700]   Nós não temos
[00:11:45.700 --> 00:11:46.340]   Uma obrigação
[00:11:46.340 --> 00:11:47.600]   De cumpri-las
[00:11:47.600 --> 00:11:48.060]   Exatamente
[00:11:48.060 --> 00:11:48.540]   Como está
[00:11:48.540 --> 00:11:49.260]   Naquele contexto
[00:11:49.260 --> 00:11:52.240]   E as leis cerimoniais?
[00:11:52.240 --> 00:11:53.440]   As leis cerimoniais
[00:11:53.440 --> 00:11:54.940]   Tem a ver com o culto
[00:11:54.940 --> 00:11:55.940]   Com a adoração
[00:11:55.940 --> 00:11:56.920]   Com as festas
[00:11:56.920 --> 00:11:58.820]   É a circuncisão
[00:11:58.820 --> 00:11:59.860]   São as festas
[00:11:59.860 --> 00:12:00.980]   Que existiam ali
[00:12:00.980 --> 00:12:02.140]   Tudo que
[00:12:02.140 --> 00:12:02.880]   Estão relacionados
[00:12:02.880 --> 00:12:03.340]   Ao culto
[00:12:03.340 --> 00:12:04.020]   Com as levidas
[00:12:04.020 --> 00:12:04.960]   Por que?
[00:12:04.960 --> 00:12:07.140]   Que essa lei
[00:12:07.140 --> 00:12:08.220]   Ou essas leis
[00:12:08.220 --> 00:12:09.460]   Não se aplicam mais
[00:12:09.460 --> 00:12:09.920]   A nós
[00:12:09.920 --> 00:12:11.500]   Que elas não tinham valor
[00:12:11.500 --> 00:12:11.820]   Algum
[00:12:11.820 --> 00:12:12.060]   Não
[00:12:12.060 --> 00:12:12.800]   Mas que
[00:12:12.800 --> 00:12:13.920]   Porque com a vida
[00:12:13.920 --> 00:12:14.480]   De Cristo
[00:12:14.480 --> 00:12:16.200]   Elas perderam
[00:12:16.200 --> 00:12:16.840]   O seu sentido
[00:12:16.840 --> 00:12:18.800]   Porque essas leis cerimoniais
[00:12:18.800 --> 00:12:19.700]   Essas festas
[00:12:19.700 --> 00:12:20.540]   Essas leis cerimoniais
[00:12:20.540 --> 00:12:21.060]   Mas apontavam
[00:12:21.060 --> 00:12:21.600]   Para o Messias
[00:12:21.600 --> 00:12:22.160]   Que viria
[00:12:22.160 --> 00:12:23.840]   Agora nós temos
[00:12:23.840 --> 00:12:24.560]   Algo melhor
[00:12:24.560 --> 00:12:25.500]   Um dos argumentos
[00:12:25.500 --> 00:12:27.320]   A nova aliança
[00:12:27.320 --> 00:12:28.160]   É superior
[00:12:28.160 --> 00:12:29.520]   A ponta da antiga
[00:12:29.520 --> 00:12:30.020]   É se tornar
[00:12:30.020 --> 00:12:31.600]   Sem sentido
[00:12:31.600 --> 00:12:32.540]   Sem valor
[00:12:32.540 --> 00:12:34.200]   Todos aqueles
[00:12:34.200 --> 00:12:34.400]   Todos aqueles
[00:12:34.400 --> 00:12:35.100]   Aqueles rituais
[00:12:35.100 --> 00:12:35.560]   Aquelas coisas
[00:12:35.560 --> 00:12:37.380]   Porque agora nós temos
[00:12:37.380 --> 00:12:38.160]   A realidade
[00:12:38.160 --> 00:12:40.580]   Aquilo era uma figura
[00:12:40.580 --> 00:12:41.020]   Sombras
[00:12:41.020 --> 00:12:41.680]   Hoje nós temos
[00:12:41.680 --> 00:12:42.440]   A realidade
[00:12:42.440 --> 00:12:45.380]   E a lei moral
[00:12:45.380 --> 00:12:46.640]   O que seria
[00:12:46.640 --> 00:12:47.900]   A lei moral
[00:12:47.900 --> 00:12:49.580]   A lei moral sim
[00:12:49.580 --> 00:12:50.300]   São leis
[00:12:50.300 --> 00:12:51.980]   Absolutas
[00:12:51.980 --> 00:12:52.760]   Que servem
[00:12:52.760 --> 00:12:53.320]   Como um padrão
[00:12:53.320 --> 00:12:54.020]   Universal
[00:12:54.020 --> 00:12:55.280]   Daquilo que Deus
[00:12:55.280 --> 00:12:56.160]   Quer para o homem
[00:12:56.160 --> 00:12:56.940]   Inclusive
[00:12:56.940 --> 00:12:57.660]   Que se aplicam
[00:12:57.660 --> 00:12:58.600]   Desde a criação
[00:12:58.600 --> 00:12:59.900]   Mesmo antes
[00:12:59.900 --> 00:13:00.460]   De Moisés
[00:13:00.460 --> 00:13:01.880]   Nós vemos homens
[00:13:01.880 --> 00:13:02.680]   Lá que andavam
[00:13:02.680 --> 00:13:03.020]   Com Deus
[00:13:03.020 --> 00:13:03.760]   Que fizeram a vontade
[00:13:03.760 --> 00:13:04.100]   De Deus
[00:13:04.100 --> 00:13:04.920]   Se vê Noé
[00:13:04.920 --> 00:13:05.760]   Se vê Enoque
[00:13:05.760 --> 00:13:07.660]   E qual que é o critério
[00:13:07.660 --> 00:13:10.080]   Que havia sido
[00:13:10.080 --> 00:13:10.600]   Estabelecido
[00:13:10.600 --> 00:13:11.380]   Para que falassem
[00:13:11.380 --> 00:13:11.560]   Isso
[00:13:11.560 --> 00:13:12.960]   Andaram com Deus
[00:13:12.960 --> 00:13:14.720]   Eram as leis morais
[00:13:14.720 --> 00:13:16.420]   Era aquilo que Deus queria
[00:13:16.420 --> 00:13:17.800]   Para entender
[00:13:17.800 --> 00:13:18.660]   De uma forma prática
[00:13:18.660 --> 00:13:19.960]   As leis morais
[00:13:19.960 --> 00:13:21.680]   Elas constituem
[00:13:21.680 --> 00:13:23.340]   A legislação
[00:13:23.340 --> 00:13:24.000]   Vamos dizer assim
[00:13:24.000 --> 00:13:25.160]   Pelo qual todas
[00:13:25.160 --> 00:13:25.920]   As pessoas do mundo
[00:13:25.920 --> 00:13:27.360]   Serão julgadas
[00:13:27.360 --> 00:13:27.960]   No dia de hoje
[00:13:27.960 --> 00:13:29.680]   Ninguém vai ser julgado
[00:13:29.680 --> 00:13:30.820]   Lá no último dia
[00:13:30.820 --> 00:13:31.560]   Porque está usando
[00:13:31.560 --> 00:13:32.100]   A roupa
[00:13:32.100 --> 00:13:33.080]   De dois tecidos
[00:13:33.080 --> 00:13:34.240]   Ou porque
[00:13:34.240 --> 00:13:35.360]   Não foi circuncidado
[00:13:35.360 --> 00:13:36.740]   Mas serão julgados
[00:13:36.740 --> 00:13:38.080]   Por terem matado
[00:13:38.080 --> 00:13:39.120]   Por terem adulterado
[00:13:39.120 --> 00:13:40.700]   Receberam essa justiça
[00:13:40.700 --> 00:13:42.100]   Ou não
[00:13:42.100 --> 00:13:42.940]   Dependendo
[00:13:42.940 --> 00:13:43.980]   Uma lei moral
[00:13:43.980 --> 00:13:45.480]   Outra uma lei cerimonial
[00:13:45.480 --> 00:13:46.140]   Agora
[00:13:46.140 --> 00:13:47.520]   A gente não pode ser
[00:13:47.520 --> 00:13:48.700]   Simplesmente arbitrado
[00:13:48.700 --> 00:13:49.320]   Muito fácil
[00:13:49.320 --> 00:13:50.800]   Eu acho que isso aqui
[00:13:50.800 --> 00:13:51.200]   É a lei moral
[00:13:51.200 --> 00:13:51.900]   Eu acho que aquilo ali
[00:13:51.900 --> 00:13:52.320]   É cerimonial
[00:13:52.320 --> 00:13:52.780]   Muito fácil
[00:13:52.780 --> 00:13:54.220]   Ser dependencial do que eu acho
[00:13:54.220 --> 00:13:55.960]   Devem existir
[00:13:55.960 --> 00:13:56.820]   Devem existir critérios objetivos
[00:13:56.820 --> 00:13:57.260]   Existem
[00:13:57.260 --> 00:13:58.000]   Por exemplo
[00:13:58.000 --> 00:14:00.060]   Leis que são anteriores
[00:14:00.060 --> 00:14:01.240]   A Moisés
[00:14:01.240 --> 00:14:02.940]   Já nos apontam
[00:14:02.940 --> 00:14:03.800]   Que deve ser uma lei
[00:14:03.800 --> 00:14:05.320]   Não cerimonial
[00:14:05.320 --> 00:14:06.120]   Civil
[00:14:06.120 --> 00:14:06.960]   Mas uma lei moral
[00:14:06.960 --> 00:14:07.900]   Que já se educava
[00:14:07.900 --> 00:14:08.800]   Desde sempre
[00:14:08.800 --> 00:14:10.420]   Leis que são repetidas
[00:14:10.420 --> 00:14:10.700]   E
[00:14:10.700 --> 00:14:11.460]   Vamos dizer assim
[00:14:11.460 --> 00:14:12.240]   Reafirmadas
[00:14:12.240 --> 00:14:13.100]   No novo pensamento
[00:14:13.100 --> 00:14:13.960]   Você percebe
[00:14:13.960 --> 00:14:14.880]   Que não faz mais parte
[00:14:14.880 --> 00:14:15.420]   A pena
[00:14:15.420 --> 00:14:16.060]   A gente não fez
[00:14:16.060 --> 00:14:17.060]   Mas faz parte
[00:14:17.060 --> 00:14:18.800]   E os dez mandamentos
[00:14:18.800 --> 00:14:19.580]   Nós estamos estudando
[00:14:19.580 --> 00:14:22.380]   No entendimento
[00:14:22.380 --> 00:14:23.200]   Da nossa condição
[00:14:23.200 --> 00:14:24.340]   São o resumo
[00:14:24.340 --> 00:14:25.520]   Da lei moral
[00:14:25.520 --> 00:14:25.880]   De Deus
[00:14:25.880 --> 00:14:26.880]   Por isso que nós estudamos
[00:14:26.880 --> 00:14:28.060]   Inclusive como lei
[00:14:28.060 --> 00:14:29.220]   Para nossas vidas
[00:14:29.220 --> 00:14:29.780]   Que nós
[00:14:29.780 --> 00:14:30.720]   Devemos
[00:14:30.720 --> 00:14:31.580]   Obedecer
[00:14:31.580 --> 00:14:33.680]   Um rápido resumo
[00:14:33.680 --> 00:14:34.840]   Para provar o seguinte ponto
[00:14:34.840 --> 00:14:36.360]   Devemos obedecer
[00:14:36.360 --> 00:14:37.600]   Os dez mandamentos
[00:14:37.600 --> 00:14:39.500]   Existe uma discussão
[00:14:39.500 --> 00:14:40.380]   Quando chegarmos lá
[00:14:40.380 --> 00:14:40.800]   Nós vamos ver
[00:14:40.800 --> 00:14:41.840]   Se o quarto mandamento
[00:14:41.840 --> 00:14:43.560]   Existe uma mudança
[00:14:43.560 --> 00:14:45.100]   Algum aspecto ali
[00:14:45.100 --> 00:14:46.240]   Que parece ser cerimonial
[00:14:46.240 --> 00:14:46.980]   Quando chegarmos lá
[00:14:46.980 --> 00:14:49.720]   A princípio
[00:14:49.720 --> 00:14:51.160]   Nós entendemos
[00:14:51.160 --> 00:14:52.320]   Ser leis morais
[00:14:52.320 --> 00:14:53.560]   Este não é nosso fato
[00:14:53.560 --> 00:14:56.540]   Ao resumir aqui
[00:14:56.540 --> 00:14:57.380]   Em poucos minutos
[00:14:57.380 --> 00:14:58.260]   O que nós pensamos
[00:14:58.260 --> 00:14:58.680]   Não estou
[00:14:58.680 --> 00:15:01.120]   Estou achando que
[00:15:01.120 --> 00:15:02.520]   Provei
[00:15:02.520 --> 00:15:03.740]   Pronto
[00:15:03.740 --> 00:15:05.060]   Não tem mais questionamento
[00:15:05.060 --> 00:15:05.640]   Irmãos
[00:15:05.640 --> 00:15:06.180]   Este é um assunto
[00:15:06.180 --> 00:15:08.240]   Muito complexo
[00:15:08.240 --> 00:15:09.880]   E os teólogos
[00:15:09.880 --> 00:15:10.680]   Falam que este
[00:15:10.680 --> 00:15:12.440]   Assunto da mudança
[00:15:12.440 --> 00:15:13.120]   E dos testamentos
[00:15:13.120 --> 00:15:13.900]   É muito complexo
[00:15:13.900 --> 00:15:14.660]   Inclusive até coloquei
[00:15:14.660 --> 00:15:15.220]   Uma citação aqui
[00:15:15.220 --> 00:15:15.980]   Do João Neto
[00:15:15.980 --> 00:15:17.360]   Tem um livro dele
[00:15:17.360 --> 00:15:18.180]   Sobre qualificações
[00:15:18.180 --> 00:15:19.160]   Para praticar a comunhão
[00:15:19.160 --> 00:15:19.920]   Que dizia o seguinte
[00:15:19.920 --> 00:15:21.220]   Olha só
[00:15:21.220 --> 00:15:22.400]   Talvez não haja
[00:15:22.400 --> 00:15:23.060]   Na teologia
[00:15:23.060 --> 00:15:25.000]   Nenhuma outra parte
[00:15:25.000 --> 00:15:25.820]   Que apresente
[00:15:25.820 --> 00:15:27.580]   Maior complexidade
[00:15:27.580 --> 00:15:28.660]   Para ser entendida
[00:15:28.660 --> 00:15:29.800]   Quanto a
[00:15:29.800 --> 00:15:30.740]   Precisa
[00:15:30.740 --> 00:15:31.600]   Concordância
[00:15:31.600 --> 00:15:32.420]   E diferença
[00:15:32.420 --> 00:15:33.860]   Entre as dispensações
[00:15:33.860 --> 00:15:34.560]   De Moisés
[00:15:34.560 --> 00:15:35.780]   E de Cristo
[00:15:35.780 --> 00:15:38.080]   Por ponto a respeito
[00:15:38.080 --> 00:15:38.900]   Do qual teólogos
[00:15:38.900 --> 00:15:39.660]   Os ortodólogos
[00:15:39.660 --> 00:15:40.220]   Disporam
[00:15:40.220 --> 00:15:40.780]   Grandemente
[00:15:40.780 --> 00:15:41.320]   Ou seja
[00:15:41.320 --> 00:15:41.800]   De outro tempo
[00:15:41.800 --> 00:15:42.360]   Você conhece aqui
[00:15:42.360 --> 00:15:43.020]   Esses são os assuntos
[00:15:43.020 --> 00:15:44.320]   Talvez dos mais
[00:15:44.320 --> 00:15:47.220]   Mas estou resumindo
[00:15:47.220 --> 00:15:47.760]   Qual a visão
[00:15:47.760 --> 00:15:49.020]   Da nossa condição
[00:15:49.020 --> 00:15:49.800]   Beleza
[00:15:49.800 --> 00:15:50.340]   Então vamos
[00:15:50.340 --> 00:15:50.640]   Para o evento
[00:15:50.640 --> 00:15:51.280]   Poderir ser
[00:15:51.280 --> 00:15:53.560]   Dos dez mandamentos
[00:15:53.560 --> 00:15:56.020]   Ponto parceiro
[00:15:56.020 --> 00:15:56.380]   Espero
[00:15:56.380 --> 00:15:57.500]   Se você tiver questionamento
[00:15:57.500 --> 00:15:58.060]   Depois você
[00:15:58.060 --> 00:15:59.180]   Me procura
[00:15:59.180 --> 00:16:01.060]   Então vamos lá
[00:16:01.060 --> 00:16:03.860]   Mais uma vez
[00:16:03.860 --> 00:16:04.800]   É porque
[00:16:04.800 --> 00:16:05.540]   Está sendo gravado
[00:16:05.540 --> 00:16:06.180]   Para alguém
[00:16:06.180 --> 00:16:08.020]   Achar que estou
[00:16:08.020 --> 00:16:09.020]   Cometendo
[00:16:09.020 --> 00:16:09.720]   Plágio
[00:16:09.720 --> 00:16:11.260]   A estrutura
[00:16:11.260 --> 00:16:11.740]   Da aula
[00:16:11.740 --> 00:16:13.080]   Estou baseando
[00:16:13.080 --> 00:16:13.800]   Principalmente
[00:16:13.800 --> 00:16:14.340]   Nesse livro
[00:16:14.340 --> 00:16:14.660]   Aqui do
[00:16:14.660 --> 00:16:15.200]   Quero de Trê
[00:16:15.200 --> 00:16:16.160]   Sobre os dez mandamentos
[00:16:16.160 --> 00:16:17.560]   Como falei
[00:16:17.560 --> 00:16:18.040]   Nós vamos
[00:16:18.040 --> 00:16:18.760]   Estou precisando
[00:16:18.760 --> 00:16:19.500]   Novamente
[00:16:19.500 --> 00:16:20.020]   Bom
[00:16:20.020 --> 00:16:23.080]   Muito bem
[00:16:23.080 --> 00:16:24.880]   Primeiro mandamento
[00:16:24.880 --> 00:16:25.940]   Não tem a dor de Deus
[00:16:25.940 --> 00:16:26.900]   Diante de mim
[00:16:26.900 --> 00:16:28.900]   Como devemos
[00:16:28.900 --> 00:16:29.760]   Guardar
[00:16:29.760 --> 00:16:30.420]   Esse mandamento
[00:16:30.420 --> 00:16:31.260]   Quero colocar
[00:16:31.260 --> 00:16:31.980]   Aqui em três
[00:16:31.980 --> 00:16:32.760]   Pontos
[00:16:32.760 --> 00:16:33.660]   Primeiro
[00:16:33.660 --> 00:16:35.460]   Devemos
[00:16:35.460 --> 00:16:37.440]   Guardar
[00:16:37.440 --> 00:16:38.040]   O mandamento
[00:16:38.040 --> 00:16:39.680]   Adorando
[00:16:39.680 --> 00:16:42.400]   Exclusivamente
[00:16:42.400 --> 00:16:44.620]   Adorando
[00:16:44.620 --> 00:16:52.020]   Você se lembra
[00:16:52.020 --> 00:16:53.020]   Do preâmbulo
[00:16:53.020 --> 00:16:54.180]   Dos dez mandamentos
[00:16:54.180 --> 00:16:54.740]   Que nós vemos
[00:16:54.740 --> 00:16:56.040]   E falamos
[00:16:56.040 --> 00:16:56.640]   Na última
[00:16:56.640 --> 00:16:58.100]   A última aula
[00:16:58.100 --> 00:16:59.360]   Deus começa
[00:16:59.360 --> 00:17:00.520]   Lá no capítulo 20
[00:17:00.520 --> 00:17:01.600]   Antes de falar
[00:17:01.600 --> 00:17:02.160]   Os dez mandamentos
[00:17:02.160 --> 00:17:02.780]   Ele fala assim
[00:17:02.780 --> 00:17:03.740]   Eu sou o Senhor
[00:17:03.740 --> 00:17:04.380]   Teu Deus
[00:17:04.380 --> 00:17:05.720]   Que te tirei
[00:17:05.720 --> 00:17:06.500]   Da terra
[00:17:06.500 --> 00:17:06.980]   Do Espírito
[00:17:06.980 --> 00:17:08.580]   Em outras palavras
[00:17:08.580 --> 00:17:09.540]   Deus está falando
[00:17:09.540 --> 00:17:10.000]   O seguinte
[00:17:10.000 --> 00:17:10.720]   Olha
[00:17:10.720 --> 00:17:12.260]   E eu quem tirei
[00:17:12.260 --> 00:17:13.220]   Vocês da terra
[00:17:13.220 --> 00:17:13.540]   Do Espírito
[00:17:13.540 --> 00:17:14.140]   Com poderosa
[00:17:14.140 --> 00:17:15.460]   O Egito
[00:17:15.460 --> 00:17:15.860]   Era a nação
[00:17:15.860 --> 00:17:16.620]   Mais poderosa
[00:17:16.620 --> 00:17:17.500]   O faraó é
[00:17:17.500 --> 00:17:17.920]   Como se fosse
[00:17:17.920 --> 00:17:18.620]   Um Deus
[00:17:18.620 --> 00:17:19.800]   Na terra
[00:17:19.800 --> 00:17:20.920]   E Deus está falando
[00:17:20.920 --> 00:17:21.340]   Para o povo
[00:17:21.340 --> 00:17:22.140]   Lembrando o seguinte
[00:17:22.140 --> 00:17:22.520]   Olha
[00:17:22.520 --> 00:17:24.220]   Eu que libertei
[00:17:24.220 --> 00:17:24.720]   Vocês lá
[00:17:24.720 --> 00:17:26.380]   Eu que acabei
[00:17:26.380 --> 00:17:27.000]   Com aquela nação
[00:17:27.000 --> 00:17:27.940]   Muito poderosa
[00:17:27.940 --> 00:17:29.300]   E os desimei
[00:17:29.300 --> 00:17:30.520]   Com as dez pragas
[00:17:30.520 --> 00:17:31.400]   Provei ali
[00:17:31.400 --> 00:17:32.000]   O meu poder
[00:17:32.000 --> 00:17:33.140]   A minha glória
[00:17:33.140 --> 00:17:34.200]   Eu desolpei
[00:17:34.200 --> 00:17:34.960]   Dos deuses
[00:17:34.960 --> 00:17:36.600]   Que eles acreditavam
[00:17:36.600 --> 00:17:38.340]   Não foram
[00:17:38.340 --> 00:17:39.140]   Outros deuses
[00:17:39.140 --> 00:17:40.320]   Que libertaram
[00:17:40.320 --> 00:17:40.680]   Vocês
[00:17:40.680 --> 00:17:41.660]   Não foram
[00:17:41.660 --> 00:17:42.080]   Vocês
[00:17:42.080 --> 00:17:42.780]   Pelo seu próprio
[00:17:42.780 --> 00:17:43.300]   Esforço
[00:17:43.300 --> 00:17:44.180]   Que saíram
[00:17:44.180 --> 00:17:44.460]   Da terra
[00:17:44.460 --> 00:17:45.060]   Fui eu
[00:17:45.060 --> 00:17:45.780]   Quem os tirei
[00:17:45.780 --> 00:17:46.640]   Portanto
[00:17:46.640 --> 00:17:47.540]   Vocês devem
[00:17:47.540 --> 00:17:48.780]   Confiar em mim
[00:17:48.780 --> 00:17:50.420]   Vocês devem adorar
[00:17:50.420 --> 00:17:52.140]   Exclusivamente
[00:17:52.140 --> 00:17:52.900]   A mim
[00:17:52.900 --> 00:17:53.640]   Essa
[00:17:53.640 --> 00:17:55.160]   É a noção
[00:17:55.160 --> 00:17:55.540]   Do primeiro
[00:17:55.540 --> 00:17:56.000]   Lamento
[00:17:56.000 --> 00:17:57.180]   Porque eu sou
[00:17:57.180 --> 00:17:57.740]   Senhor
[00:17:57.740 --> 00:17:59.020]   Vocês devem
[00:17:59.020 --> 00:17:59.400]   Entender
[00:17:59.400 --> 00:18:01.020]   A mim
[00:18:01.020 --> 00:18:02.740]   Vocês devem
[00:18:02.740 --> 00:18:03.240]   Adorar
[00:18:03.240 --> 00:18:04.420]   Exclusivamente
[00:18:04.420 --> 00:18:05.220]   Confiar
[00:18:05.220 --> 00:18:06.520]   Agora
[00:18:06.520 --> 00:18:06.800]   A gente
[00:18:06.800 --> 00:18:07.120]   Não pode
[00:18:07.120 --> 00:18:07.440]   Entender
[00:18:07.440 --> 00:18:08.180]   Equivocadamente
[00:18:08.180 --> 00:18:08.640]   Essa ideia
[00:18:08.640 --> 00:18:09.380]   De outros
[00:18:09.380 --> 00:18:10.100]   Deuses
[00:18:10.100 --> 00:18:11.140]   Existiam
[00:18:11.140 --> 00:18:11.380]   Outros
[00:18:11.380 --> 00:18:11.580]   Deuses
[00:18:11.580 --> 00:18:11.800]   Na minha
[00:18:11.800 --> 00:18:12.080]   Confesa
[00:18:12.080 --> 00:18:12.640]   Existiam
[00:18:12.640 --> 00:18:14.900]   Mas
[00:18:14.900 --> 00:18:15.480]   Usando o termo
[00:18:15.480 --> 00:18:16.100]   Filosófico
[00:18:16.100 --> 00:18:17.500]   Ontologicamente
[00:18:17.500 --> 00:18:18.580]   Esses seres
[00:18:18.580 --> 00:18:19.360]   Não existiam
[00:18:19.360 --> 00:18:20.200]   Não eram seres
[00:18:20.200 --> 00:18:21.020]   De fato
[00:18:21.020 --> 00:18:21.520]   Não existem
[00:18:21.520 --> 00:18:22.100]   Outros
[00:18:22.100 --> 00:18:22.660]   Deuses
[00:18:22.660 --> 00:18:23.460]   Existem
[00:18:23.460 --> 00:18:23.880]   Outros
[00:18:23.880 --> 00:18:24.500]   Homens
[00:18:24.500 --> 00:18:25.200]   Existem
[00:18:25.200 --> 00:18:25.520]   Outros
[00:18:25.520 --> 00:18:26.160]   Animais
[00:18:26.160 --> 00:18:26.540]   Existem
[00:18:26.540 --> 00:18:27.040]   Outras
[00:18:27.040 --> 00:18:27.600]   Pedras
[00:18:27.600 --> 00:18:28.260]   Mas não
[00:18:28.260 --> 00:18:28.580]   Existem
[00:18:28.580 --> 00:18:28.900]   Outros
[00:18:28.900 --> 00:18:29.300]   Deuses
[00:18:29.300 --> 00:18:30.180]   Deus é um
[00:18:30.180 --> 00:18:30.780]   Ser único
[00:18:30.780 --> 00:18:31.780]   Deus
[00:18:31.780 --> 00:18:32.580]   A definição
[00:18:32.580 --> 00:18:33.640]   Completa
[00:18:33.640 --> 00:18:33.980]   De Deus
[00:18:33.980 --> 00:18:34.960]   Existe
[00:18:34.960 --> 00:18:35.280]   Apenas
[00:18:35.280 --> 00:18:35.580]   Outro
[00:18:35.580 --> 00:18:36.400]   Tem
[00:18:36.400 --> 00:18:37.680]   Um livro
[00:18:37.680 --> 00:18:39.280]   De um pastor
[00:18:39.280 --> 00:18:39.660]   Chamado
[00:18:39.660 --> 00:18:40.360]   Adapim
[00:18:40.360 --> 00:18:40.740]   Sobre os
[00:18:40.740 --> 00:18:41.140]   Atributos
[00:18:41.140 --> 00:18:41.640]   Deuses
[00:18:41.640 --> 00:18:42.740]   E que ele
[00:18:42.740 --> 00:18:43.020]   Coloca
[00:18:43.020 --> 00:18:43.380]   Como um
[00:18:43.380 --> 00:18:43.840]   Dos atributos
[00:18:43.840 --> 00:18:44.160]   Deuses
[00:18:44.160 --> 00:18:44.800]   A solidão
[00:18:44.800 --> 00:18:45.220]   Deuses
[00:18:45.220 --> 00:18:47.060]   Refletindo
[00:18:47.060 --> 00:18:47.200]   Nessa
[00:18:47.200 --> 00:18:47.400]   Ideia
[00:18:47.400 --> 00:18:47.620]   Que ele
[00:18:47.620 --> 00:18:47.960]   É único
[00:18:47.960 --> 00:18:48.660]   Não existe
[00:18:48.660 --> 00:18:49.020]   Outro
[00:18:49.020 --> 00:18:49.480]   Como
[00:18:49.480 --> 00:18:50.020]   Aí ele
[00:18:50.020 --> 00:18:50.180]   Fala
[00:18:50.180 --> 00:18:51.020]   Deus
[00:18:51.020 --> 00:18:51.320]   A ideia
[00:18:51.320 --> 00:18:51.980]   Solitária
[00:18:51.980 --> 00:18:52.920]   Existem
[00:18:52.920 --> 00:18:53.200]   Outros
[00:18:53.200 --> 00:18:53.720]   Homens
[00:18:53.720 --> 00:18:54.240]   Como nós
[00:18:54.240 --> 00:18:54.500]   Existem
[00:18:54.500 --> 00:18:55.100]   As mulheres
[00:18:55.100 --> 00:18:55.480]   Existem
[00:18:55.480 --> 00:18:56.200]   Os animais
[00:18:56.200 --> 00:18:56.740]   Mas
[00:18:56.740 --> 00:18:57.760]   Um ser
[00:18:57.760 --> 00:18:58.060]   Como
[00:18:58.060 --> 00:18:58.560]   Deuses
[00:18:58.560 --> 00:18:59.380]   Não
[00:18:59.380 --> 00:19:00.600]   Existe
[00:19:00.600 --> 00:19:01.600]   Outro
